simple_hill_climbing output
Distance 54652.9134028
Distance 54649.8387153
Distance 54643.4259838
Distance 54641.3387322
Distance 54640.0133534
Distance 54501.1595943
Distance 54484.5098041
Distance 54481.2332878
Distance 54480.4234905
Distance 54371.7334463
Distance 54345.2254522
Distance 54136.1077221
Distance 53914.5246182
Distance 53905.1260271
Distance 53903.2523123
Distance 53770.2979271
Distance 53765.4109979
Distance 53761.5943545
Distance 53741.2608499
Distance 53739.3776247
Distance 53739.3132293
Distance 53723.1122522
Distance 53712.40097
Distance 53652.0686893
Distance 53387.3074249
Distance 53387.3046259
Distance 53223.224538
Distance 53068.4225585
Distance 53068.1016771
Distance 52957.7132599
Distance 52948.2880812
Distance 52839.6450201
Distance 52838.2488013
Distance 52817.7826066
Distance 52811.2586067
Distance 52649.7360407
Distance 52590.3678764
Distance 52586.8502086
Distance 52586.7708387
Distance 52453.6086514
Distance 52451.3353046
Distance 52306.9441238
Distance 52306.9116863
Distance 52299.9217637
Distance 52170.6805518
Distance 52123.4635918
Distance 52119.9099244
Distance 52114.6993428
Distance 52112.2233806
Distance 52061.2243517
Distance 52054.1028865
Distance 52050.1728915
Distance 52043.7807789
Distance 52016.946134
Distance 52010.9866639
Distance 52010.695551
Distance 52000.6149719
Distance 51998.7909256
Distance 51997.5808672
Distance 51957.0037656
Distance 51949.6091389
Distance 51791.2888001
Distance 51775.4196257
Distance 51775.0396746
Distance 51773.2008228
Distance 51771.6260649
Distance 51607.2538833
Distance 51603.592139
Distance 51495.0239706
Distance 51494.7604623
Distance 51492.6638694
Distance 51445.2123179
Distance 51412.5785009
Distance 51334.2955539
Distance 51331.0856221
Distance 51218.3125752
Distance 51213.093561
Distance 51189.9841494
Distance 51170.8156664
Distance 51165.7914217
Distance 51164.995427
Distance 51159.1458359
Distance 51158.7907663
Distance 51141.0438982
Distance 51103.984053
Distance 51098.9598083
Distance 50964.1935425
Distance 50954.6759001
Distance 50948.3130388
Distance 50931.74792
Distance 50878.8671379
Distance 50866.0360974
Distance 50747.4890814
Distance 50739.4397353
Distance 50706.4462234
Distance 50696.9670858
Distance 50694.3370014
count is:5
Best case recieved is:
[('Bombay',  7.2820e+01,  18.96) ('Shanghai',  1.2147e+02,  31.23)
 ('Karachi',  6.7010e+01,  24.86) ('Buenos Aires', -5.8370e+01, -34.61)
 ('Istanbul',  2.9000e+01,  41.1 ) ('Delhi',  7.7210e+01,  28.67)
 ('Manila',  1.2097e+02,  14.62) ('Sao Paulo', -4.6630e+01, -23.53)
 ('Moscow',  3.7620e+01,  55.75) ('Soul',  1.2699e+02,  37.56)
 ('Dhaka',  9.0390e+01,  23.7 ) ('Kinshasa',  1.5320e+01,  -4.31)
 ('Mexico City', -9.9140e+01,  19.43) ('Lagos',  3.3500e+00,   6.5 )
 ('Jakarta',  1.0683e+02,  -6.18) ('Tokyo',  1.3977e+02,  35.67)
 ('Tehran',  5.1430e+01,  35.67) ('Cairo',  3.1250e+01,  30.06)
 ('Lima', -7.7050e+01, -12.07) ('New York', -7.3940e+01,  40.67)
 ('London', -1.0000e-01,  51.52) ('Peking',  1.1640e+02,  39.93)
 ('Lahore',  7.4350e+01,  31.56) ('Rio de Janeiro', -4.3200e+01, -22.91)
 ('Bogota', -7.4090e+01,   4.63) ('Bagdad',  4.4440e+01,  33.33)
 ('Bangalore',  7.7560e+01,  12.97) ('Bangkok',  1.0050e+02,  13.73)
 ('Singapore',  1.0385e+02,   1.3 ) ('Santiago', -7.0640e+01, -33.46)
 ('Toronto', -7.9380e+01,  43.65) ('Calcutta',  8.8360e+01,  22.57)
 ('Rangoon',  9.6150e+01,  16.79) ('Riyadh',  4.6770e+01,  24.65)
 ('Ibadan',  3.9300e+00,   7.38) ('Madras',  8.0270e+01,  13.09)
 ('Ho Chi Minh Cit',  1.0669e+02,  10.78)
 ('Chongqing',  1.0658e+02,  29.57) ('Wuhan',  1.1427e+02,  30.58)
 ('Xian',  1.0890e+02,  34.27) ('Saint Petersbur',  3.0320e+01,  59.93)
 ('Alexandria',  2.9950e+01,  31.22) ('Chengdu',  1.0407e+02,  30.67)
 ('Hyderabad',  7.8480e+01,  17.4 ) ('Ahmadabad',  7.2580e+01,  23.03)
 ('Ankara',  3.2850e+01,  39.93) ('Los Angeles', -1.1841e+02,  34.11)
 ('Abidjan', -4.0300e+00,   5.33) ('Chattagam',  9.1810e+01,  22.33)
 ('Tianjin',  1.1720e+02,  39.13) ('Yokohama',  1.3962e+02,  35.47)
 ('Sydney',  1.5121e+02, -33.87) ('Melbourne',  1.4496e+02, -37.81)
 ('Berlin',  1.3380e+01,  52.52) ('Shenyang',  1.2345e+02,  41.8 )
 ('Pusan',  1.2903e+02,  35.11) ('Montreal', -7.3570e+01,  45.52)
 ('Cape Town',  1.8460e+01, -33.93) ('Durban',  3.0990e+01, -29.87)
 ('Gizeh',  3.1210e+01,  30.01) ('Harbin',  1.2665e+02,  45.75)
 ('Nanjing',  1.1878e+02,  32.05) ('Pune',  7.3840e+01,  18.53)
 ('Surat',  7.2820e+01,  21.2 ) ('Addis Abeba',  3.8740e+01,   9.03)
 ('Casablanca', -7.6200e+00,  33.6 ) ('Madrid', -3.7100e+00,  40.42)
 ('Pyongyang',  1.2575e+02,  39.02) ('Guangzhou',  1.1325e+02,  23.12)
 ('Kanpur',  8.0330e+01,  26.47) ('Nairobi',  3.6820e+01,  -1.29)
 ('Jiddah',  3.9170e+01,  21.5 ) ('Jaipur',  7.5800e+01,  26.92)
 ('Dar es Salaam',  3.9280e+01,  -6.82) ('Salvador', -3.8500e+01, -12.97)
 ('Chicago', -8.7680e+01,  41.84) ('Faisalabad',  7.3110e+01,  31.41)
 ('al-Mawsil',  4.3140e+01,  36.34) ('Izmir',  2.7150e+01,  38.43)
 ('Taiyuan',  1.1255e+02,  37.87) ('Taibei',  1.2145e+02,  25.02)
 ('Osaka',  1.3550e+02,  34.68) ('Inchon',  1.2664e+02,  37.48)
 ('Changchun',  1.2535e+02,  43.87) ('Lakhnau',  8.0920e+01,  26.85)
 ('Luanda',  1.3240e+01,  -8.82) ('Kiev',  3.0520e+01,  50.43)
 ('Rome',  1.2500e+01,  41.89) ('Dakar', -1.7480e+01,  14.72)
 ('Mashhad',  5.9570e+01,  36.27) ('Kabul',  6.9170e+01,  34.53)
 ('Fortaleza', -3.8590e+01,  -3.78)
 ('Belo Horizonte', -4.3940e+01, -19.92)
 ('Santo Domingo', -6.9910e+01,  18.48) ('Maracaibo', -7.1660e+01,  10.73)
 ('Brasilia', -4.7910e+01, -15.78) ('Umm Durman',  3.2480e+01,  15.65)
 ('Nagpur',  7.9080e+01,  21.16) ('Taegu',  1.2860e+02,  35.87)
 ('Surabaya',  1.1274e+02,  -7.24) ('Kano',  8.5200e+00,  12.  )
 ('Medellin', -7.5540e+01,   6.29) ('Accra', -2.0000e-01,   5.56)
 ('Benin',  5.6200e+00,   6.34) ('Shijiazhuang',  1.1448e+02,  38.05)
 ('Nagoya',  1.3691e+02,  35.15) ('Changsha',  1.1297e+02,  28.2 )
 ('Khartoum',  3.2520e+01,  15.58) ('Houston', -9.5390e+01,  29.77)
 ('Guayaquil', -7.9900e+01,  -2.21) ('Cali', -7.6520e+01,   3.44)
 ('Jinan',  1.1700e+02,  36.67) ('Algiers',  3.0400e+00,  36.77)
 ('Havanna', -8.2390e+01,  23.13) ('Paris',  2.3400e+00,  48.86)
 ('Tashkent',  6.9300e+01,  41.31) ('Jilin',  1.2655e+02,  43.85)
 ('Dalian',  1.2165e+02,  38.92) ('Zhengzhou',  1.1367e+02,  34.75)
 ('Nanchang',  1.1588e+02,  28.68) ('Bayrut',  3.5500e+01,  33.89)
 ('Vancouver', -1.2313e+02,  49.28) ('Douala',  9.7100e+00,   4.06)
 ('Johannesburg',  2.8040e+01, -26.19) ('Jiulong',  1.1417e+02,  22.32)
 ('Kaduna',  7.4400e+00,  10.52) ('Ecatepec', -9.9050e+01,  19.6 )
 ('Caracas', -6.6930e+01,  10.54) ('Port Harcourt',  7.0100e+00,   4.81)
 ('Bucharest',  2.6100e+01,  44.44) ('Sapporo',  1.4134e+02,  43.06)
 ('Hangzhou',  1.2017e+02,  30.25) ('Rawalpindi',  7.3040e+01,  33.6 )
 ("San'a",  4.4210e+01,  15.38) ('Curitiba', -4.9290e+01, -25.42)
 ('Conakry', -1.3670e+01,   9.55) ('al-Basrah',  4.7820e+01,  30.53)
 ('Xinyang',  1.1407e+02,  32.13) ('Brisbane',  1.5302e+02, -27.46)
 ('Medan',  9.8670e+01,   3.59) ('Indore',  7.5860e+01,  22.72)
 ('Kumasi', -1.6300e+00,   6.69) ('Manaus', -6.0020e+01,  -3.12)
 ('Rabat', -6.8400e+00,  34.02) ('Minsk',  2.7550e+01,  53.91)
 ('Hamburg',  1.0000e+01,  53.55) ('Valencia', -6.7980e+01,  10.23)
 ('Soweto',  2.7840e+01, -26.28) ('Bhopal',  7.7400e+01,  23.24)
 ('Patna',  8.5130e+01,  25.62) ('Qingdao',  1.2032e+02,  36.07)
 ('Warsaw',  2.1020e+01,  52.26) ('Vienna',  1.6370e+01,  48.22)
 ('Yaounde',  1.1520e+01,   3.87) ('Aleppo',  3.7170e+01,  36.23)
 ('Dubai',  5.5330e+01,  25.27) ('Bekasi',  1.0697e+02,  -6.22)
 ('Thana',  7.2970e+01,  19.2 ) ('Budapest',  1.9080e+01,  47.51)
 ('Bamako', -7.9900e+00,  12.65) ('Harare',  3.1050e+01, -17.82)
 ('Esfahan',  5.1680e+01,  32.68) ('Ludhiana',  7.5840e+01,  30.91)
 ('Bandung',  1.0760e+02,  -6.91) ('Barcelona',  2.1700e+00,  41.4 )
 ('Lubumbashi',  2.7480e+01, -11.66) ('Pretoria',  2.8220e+01, -25.73)
 ('Guadalajara', -1.0335e+02,  20.67) ('Muqdisho',  4.5330e+01,   2.05)
 ('Tangshan',  1.1819e+02,  39.62) ('Damascus',  3.6320e+01,  33.5 )
 ('Quito', -7.8500e+01,  -0.19) ('Phoenix', -1.1207e+02,  33.54)
 ('Urumqi',  8.7580e+01,  43.8 ) ('Agra',  7.8010e+01,  27.19)
 ('Antananarivo',  4.7510e+01, -18.89) ('Davao',  1.2563e+02,   7.11)
 ('Kobe',  1.3517e+02,  34.68) ('Santa Cruz', -6.3210e+01, -17.77)
 ('Tijuana', -1.1702e+02,  32.53) ('Juarez', -1.0649e+02,  31.74)
 ('Recife', -3.4920e+01,  -8.08) ('Multan',  7.1450e+01,  30.2 )
 ('Gaoxiong',  1.2027e+02,  22.63) ('Ha Noi',  1.0584e+02,  21.03)
 ('Cordoba', -6.4190e+01, -31.4 ) ('Belem', -4.8500e+01,  -1.44)
 ('Lome',  1.3500e+00,   6.17) ('Kampala',  3.2580e+01,   0.32)
 ('Hyderabad',  6.8370e+01,  25.38) ('Vadodara',  7.3180e+01,  22.31)
 ('Suzhou',  1.2062e+02,  31.3 ) ('Gujranwala',  7.4180e+01,  32.16)
 ('Mbuji-Mayi',  2.3590e+01,  -6.13) ('Bursa',  2.9080e+01,  40.2 )
 ('Karaj',  5.0970e+01,  35.8 ) ('Pimpri',  7.3800e+01,  18.62)
 ('Tangerang',  1.0663e+02,  -6.18) ('Kyoto',  1.3575e+02,  35.01)
 ('Kharkiv',  3.6220e+01,  49.98) ('Puebla', -9.8220e+01,  19.05)
 ('Aba',  7.3500e+00,   5.1 ) ('Kuala Lumpur',  1.0171e+02,   3.16)
 ('Nashik',  7.3780e+01,  20.01) ('Philadelphia', -7.5130e+01,  40.01)
 ('Fukuoka',  1.3041e+02,  33.59) ('Taejon',  1.2743e+02,  36.33)
 ('Lanzhou',  1.0368e+02,  36.05) ('Mecca',  3.9820e+01,  21.43)
 ('Shantou',  1.1667e+02,  23.37) ('Hefei',  1.1728e+02,  31.85)
 ('Koyang',  1.2693e+02,  37.7 ) ('Novosibirsk',  8.2930e+01,  55.04)
 ('Tabriz',  4.6300e+01,  38.08) ('Adana',  3.5320e+01,  37.  )
 ('Porto Alegre', -5.1220e+01, -30.04) ('Faridabad',  7.7300e+01,  28.38)
 ('Narayanganj',  9.0500e+01,  23.62) ('Phnum Penh',  1.0492e+02,  11.57)
 ('Makasar',  1.1941e+02,  -5.14) ('Fushun',  1.2388e+02,  41.87)
 ('Luoyang',  1.1247e+02,  34.68) ('Khulna',  8.9560e+01,  22.84)
 ('Lusaka',  2.8290e+01, -15.42) ('Depok',  1.0683e+02,  -6.39)
 ('Handan',  1.1448e+02,  36.58) ('San Antonio', -9.8510e+01,  29.46)
 ('Ghaziabad',  7.7410e+01,  28.66) ('Kawasaki',  1.3970e+02,  35.53)
 ('Kwangju',  1.2691e+02,  35.16) ('Peshawar',  7.1540e+01,  34.01)
 ('Rajkot',  7.0790e+01,  22.31) ('Mandalay',  9.6090e+01,  21.98)
 ('Suwon',  1.2701e+02,  37.26) ('Almaty',  7.6920e+01,  43.32)
 ('Munich',  1.1580e+01,  48.14) ('Milan',  9.1900e+00,  45.48)
 ('Baotou',  1.1005e+02,  40.6 ) ('Mirat',  7.7700e+01,  28.99)
 ('Kalyan',  7.3160e+01,  19.25) ('Xianggangdao',  1.1414e+02,  22.27)
 ('Rongcheng',  1.1634e+02,  23.54) ('Yekaterinburg',  6.0600e+01,  56.85)
 ('Ouagadougou', -1.5300e+00,  12.37) ('Guarulhos', -4.6490e+01, -23.46)
 ('Montevideo', -5.6170e+01, -34.87) ('Xuzhou',  1.1718e+02,  34.27)
 ('Palembang',  1.0475e+02,  -2.99) ('Semarang',  1.1042e+02,  -6.97)
 ('Perth',  1.1584e+02, -31.96) ('Stockholm',  1.8070e+01,  59.33)
 ('Dallas', -9.6770e+01,  32.79) ('San Diego', -1.1714e+02,  32.81)
 ('Goiania', -4.9260e+01, -16.72) ('Gaziantep',  3.7390e+01,  37.07)
 ('Nizhniy Novgoro',  4.4000e+01,  56.33) ('Fuzhou',  1.1930e+02,  26.08)
 ('Rosario', -6.0670e+01, -32.94) ('Nezahualcoyotl', -9.9030e+01,  19.41)
 ('Shiraz',  5.2570e+01,  29.63) ('Shenzhen',  1.1413e+02,  22.53)
 ('Saitama',  1.3964e+02,  35.87) ('Tripoli',  1.3180e+01,  32.87)
 ('Yerevan',  4.4520e+01,  40.17) ('Baku',  4.9860e+01,  40.39)
 ('Varanasi',  8.3010e+01,  25.32) ('Guiyang',  1.0672e+02,  26.58)
 ('Anshan',  1.2295e+02,  41.12) ('Wuxi',  1.2030e+02,  31.58)
 ('Subang Jaya',  1.0153e+02,   3.15) ('Brazzaville',  1.5260e+01,  -4.25)
 ('Leon', -1.0169e+02,  21.12) ('Prague',  1.4430e+01,  50.08)
 ('Amritsar',  7.4870e+01,  31.64) ('Huainan',  1.1698e+02,  32.63)
 ('Hiroshima',  1.3244e+02,  34.39) ('Monrovia', -1.0800e+01,   6.31)
 ('Barranquilla', -7.4800e+01,  10.96) ('Tbilisi',  4.4790e+01,  41.72)
 ("'Amman",  3.5930e+01,  31.95) ('Abuja',  7.4900e+00,   9.06)
 ('Omsk',  7.3400e+01,  55.  ) ('Aurangabad',  7.5320e+01,  19.89)
 ('Navi Mumbai',  7.3060e+01,  19.11) ('Sofia',  2.3310e+01,  42.69)
 ('Monterrey', -1.0032e+02,  25.67)
 ('Port Elizabeth',  2.5590e+01, -33.96) ('Maputo',  3.2570e+01, -25.95)
 ('Allahabad',  8.1840e+01,  25.45) ('Samara',  5.0150e+01,  53.2 )
 ('Belgrade',  2.0500e+01,  44.83) ('Campinas', -4.7080e+01, -22.91)
 ('Sholapur',  7.5890e+01,  17.67) ('Kazan',  4.9130e+01,  55.75)
 ('Irbil',  4.4010e+01,  36.18) ('Barquisimeto', -6.9300e+01,  10.05)
 ('K?benhavn',  1.2580e+01,  55.67) ('Baoding',  1.1548e+02,  38.87)
 ('Xianyang',  1.0870e+02,  34.37) ('Maceio', -3.5750e+01,  -9.65)
 ('Nova Iguacu', -4.3470e+01, -22.74) ('Guatemala', -9.0550e+01,  14.63)
 ('Maiduguri',  1.3160e+01,  11.85) ('Kunming',  1.0270e+02,  25.05)
 ('Taizhong',  1.2068e+02,  24.15) ('Datong',  1.1330e+02,  40.08)
 ('Dublin', -6.2500e+00,  53.33) ('Visakhapatnam',  8.3300e+01,  17.73)
 ('Jabalpur',  7.9940e+01,  23.17) ('Rostov-na-Donu',  3.9710e+01,  47.24)
 ("Dnipropetrovs'k",  3.4980e+01,  48.45)
 ('Shubra-El-Khema',  3.1250e+01,  30.11)
 ('Srinagar',  7.4790e+01,  34.09) ('Benxi',  1.2375e+02,  41.33)
 ('Chelyabinsk',  6.1430e+01,  55.15) ('al-Madinah',  3.9590e+01,  24.48)
 ('Brussels',  4.3300e+00,  50.83) ('Calgary', -1.1406e+02,  51.05)
 ('Zapopan', -1.0340e+02,  20.72) ('Haora',  8.8330e+01,  22.58)
 ('Adelaide',  1.3860e+02, -34.93) ('Sendai',  1.4089e+02,  38.26)
 ('Songnam',  1.2715e+02,  37.44) ('Ranchi',  8.5330e+01,  23.36)
 ('Ilorin',  4.5500e+00,   8.49) ('Tegucigalpa', -8.7220e+01,  14.09)
 ('Fez', -5.0000e+00,  34.05) ('Ahvaz',  4.8720e+01,  31.28)
 ('Ufa',  5.6040e+01,  54.78) ('Chandigarh',  7.6780e+01,  30.75)
 ('Klang',  1.0145e+02,   3.04) ('Koyampattur',  7.6960e+01,  11.01)
 ('Qom',  5.0950e+01,  34.65) ('Cologne',  6.9700e+00,  50.95)
 ('Odesa',  3.0730e+01,  46.47) ('Donetsk',  3.7820e+01,  48.  )
 ('Jodhpur',  7.3020e+01,  26.29) ('Sao Goncalo', -4.3070e+01, -22.84)
 ('Sao Luis', -4.4300e+01,  -2.5 ) ('Perm',  5.6250e+01,  58.  )
 ('Huaibei',  1.1675e+02,  33.95) ('Kitakyushu',  1.3086e+02,  33.88)
 ('Changzhou',  1.1997e+02,  31.78) ('Guwahati',  9.1750e+01,  26.19)
 ('Maisuru',  7.6650e+01,  12.31) ('Volgograd',  4.4480e+01,  48.71)
 ('Naples',  1.4270e+01,  40.85) ('Konya',  3.2480e+01,  37.88)
 ('Vijayawada',  8.0630e+01,  16.52) ('Ulsan',  1.2931e+02,  35.55)
 ('Birmingham', -1.9100e+00,  52.48) ('San Jose', -1.2185e+02,  37.3 )
